"","p","d","q","Mean Error","Root Mean Squared Error","Mean Absolute Error","Mean Percentage Error","Mean Absolute Percentage Error","Mean Absolute Scaled Error","Autocorrelation of errors at lag 1"
"68",2,0,3,-0.0086697964717645,21.4694929599847,14.5612159611278,-53.4633224253912,72.0997195957431,0.929809299067942,0.000880110366873392
"69",2,0,4,-0.00391239873613695,21.4602874846826,14.54607318094,-53.617997767617,71.852536102706,0.928842353871197,-0.00203658776118003
"70",2,0,5,0.0193588561647466,21.6799120231999,14.6291098542847,-52.28906456305,70.3578769653338,0.934144676922083,-0.000340002536903072
"71",2,0,6,0.0401319038831085,21.6791407229254,14.6185286221458,-51.9328018390937,70.0738510752263,0.933469010270024,3.31417212015472e-05
"72",2,0,7,-0.0046804723541518,20.6323618949745,14.0091301724361,-51.0808686928734,74.8554368024067,0.894555752827078,0.000614159059096823
"73",2,0,8,0.00558685994134713,20.6322716445779,14.004127813322,-50.9416494052572,74.7004647726044,0.894236326205433,0.000121118687629854
"74",2,0,9,-0.0205402956485623,20.6098904009156,14.0046561496863,-51.0949801268873,75.4616009229767,0.894270063227521,0.00156720069101732
"75",2,0,10,-0.0183203623097638,20.6019032067976,13.9949944501298,-50.8601211001221,75.5745565401392,0.893653113508736,0.00085598922792912
"76",2,0,11,-0.00857844372488624,20.5964551353417,13.9872331627246,-50.3482934774511,75.2903321157599,0.89315751498033,-0.000576294054611055
"77",2,0,12,0.0560603161638464,20.5666336966279,14.0291424652366,-51.8613340909014,77.6797001085158,0.895833641706086,0.0079953827921023
"78",2,0,13,0.150386946094451,20.4740338384705,13.9187121547923,-50.475640633584,75.8105890274552,0.888782092589302,0.0111895566474241
"79",2,0,14,0.00723956903657721,20.3839352028326,13.7675164914039,-49.8124806786902,73.5319463892519,0.879127463870611,0.00575800837494084
"80",2,0,15,0.0087862824293972,20.3427444021374,13.6567531562299,-48.9333032343457,71.8044389093043,0.87205464939444,0.00197101590864712
"81",2,1,0,0.00112377555546993,22.7318498701489,14.8611339377808,-8.60891494461434,45.3672807175197,0.948960620248402,-0.00414750842351202
"82",2,1,1,0.000933114780306065,22.7280062675993,14.8557108729836,-8.15174881714174,45.2751291498853,0.948614329382903,-0.000897780797424175
"83",2,1,2,0.00541677712515159,22.5593523101501,14.8138166315941,-12.7352357339368,48.7292898383308,0.945939164388076,0.016336252526412
"84",2,1,3,0.00500912254591489,22.5344065183781,14.7886264025007,-11.5638153495685,48.2349416405274,0.944330637372254,0.000696354717382131
"85",2,1,4,0.00491544500888341,22.5321724591284,14.7815996810076,-11.2036905000373,48.0516950660223,0.943881944694138,0.000277923530965103
"86",2,1,5,0.00476472056973659,22.5315578960859,14.7785104221843,-11.0137469104147,47.996594819783,0.943684679466506,0.000142431304810187
"87",2,1,6,-0.123614546271787,21.6797833038268,14.6500637421334,-53.1344910168642,71.0457393144242,0.935482691537435,-0.000413037809627798
"88",2,1,7,-0.121812227502859,21.6790250868345,14.6459850376067,-52.9768510212784,70.9166082839594,0.935222245060496,-0.000166271502201023
"89",2,1,8,-0.255064915251966,20.6323923126752,14.0384438927517,-53.1740727491971,76.1781520860103,0.896427586183061,0.000200224738989099
"90",2,1,9,-0.253794304103169,20.6323302374119,14.0338016815396,-53.085235794542,76.0337083224897,0.896131156876279,-0.000364048138837536
